"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","GFP-A","GFP-H","GFP-W","(Event #%4) - 0.5 + (Event #/(4956 + 1))","SYTOX Red-A","SYTOX Red-H","SYTOX Red-W","BFP-A","BFP-H","BFP-W","RFP-A","RFP-H","RFP-W","mCherry-A","mCherry-H","mCherry-W","Time"
246268,138215,144,285006,151829,133,501,214,0,-0.391063,644,462,0,-83,64,0,89,75,0,9,76,0,1.67859
318928,222367,138,145745,91436,124,2088,1146,25,0.609139,122,110,0,3,86,0,111,111,0,403,349,0,1.68055
315986,194034,135,166977,106398,123,2301,1271,30,1.60934,49,137,0,65,95,0,95,75,0,480,290,0,1.6825
240993,184760,113,115719,90397,110,713,501,0,1.61015,155,89,0,-68,54,0,-47,31,0,229,224,0,1.70007
426077,255657,140,200783,115954,127,5332,3272,55,1.61095,429,490,0,-8,38,0,523,226,0,2578,1512,35,1.70787
387876,218707,132,355981,240975,131,431,344,0,1.61257,280,290,0,219,165,0,-8,86,0,32,82,0,1.72642
161163,111062,116,86617,63971,110,2678,1666,35,1.61338,154,172,0,-25,115,0,67,77,0,457,426,0,1.74008
496241,250717,149,205823,96158,140,4441,2795,46,2.61358,198,221,0,95,77,0,228,137,0,924,543,0,1.74496
261457,185794,131,100350,66659,116,1469,794,0,-0.386221,95,139,0,162,103,0,69,65,0,402,320,0,1.74593
330242,238301,120,85793,60568,117,1723,1161,17,0.61398,69,139,0,-116,39,0,121,70,0,729,500,0,1.74789
393354,212091,138,391654,236020,136,1391,671,0,1.61418,353,358,0,176,85,0,9,52,0,968,568,0,1.75179
275000,194411,119,115936,74102,123,2347,1244,28,2.61438,84,185,0,-19,60,0,152,102,0,714,460,0,1.75667
345183,243309,119,160859,107762,122,4200,2517,47,-0.383801,167,122,0,-159,45,0,236,94,0,387,330,0,1.80156
161828,130877,125,107276,90340,107,619,581,0,2.61761,754,678,0,116,110,0,-34,25,0,103,114,0,1.82791
356264,171283,154,361512,208455,152,12599,7586,77,-0.382187,308,331,0,32,45,0,361,148,0,2554,1204,25,1.82791
440552,243119,141,332330,164512,151,4382,3111,38,0.618015,426,379,0,-115,94,0,377,153,0,1744,1081,14,1.82889
152739,124981,111,182113,144286,116,246,224,0,1.62064,127,135,0,-18,60,0,-71,42,0,12,59,0,1.86597
285587,199818,128,97196,68373,121,756,434,0,-0.377345,34,101,0,18,105,0,73,60,0,308,211,0,1.91087
387201,248531,137,179969,108303,128,4355,2227,53,1.62306,415,258,0,115,115,0,116,107,0,1181,830,0,1.91965
299136,215983,120,130597,86360,121,838,437,0,2.62326,100,127,0,-63,95,0,74,58,0,514,354,0,1.92355
410157,188441,147,485823,313672,141,2534,1262,32,1.62387,577,523,0,200,106,0,54,85,0,1365,868,0,1.93331
