"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B525-A","R660-A","R710-A","UV440-A","V440-A","YG610-A","Time"
42194.6,35253,78440.6,15914.6,13405,77805.4,-6.72,36.96,29.82,33.48,-24.3,15.93,0.514799
91049,54898,108692,36750,25590,94116.8,90.72,72.24,85.26,68.82,78.3,150.45,0.514799
71051.4,54007,86218.9,22777.4,17035,87628,31.08,9.24,-5.88,-17.67,49.5,40.71,0.514799
73481.1,44862,107344,23928.2,17182,91267.7,68.04,55.44,-44.1,77.19,88.2,94.4,0.516854
86643.9,55436,102430,39450.6,28220,91617.1,41.16,58.38,37.8,117.18,58.5,60.18,0.517882
70217.7,50235,91605.2,20930.3,15343,89401.5,15.96,28.98,17.22,38.13,53.1,50.15,0.518909
36842.4,33000,73166.8,21173.9,16549,83851.1,78.12,43.68,100.8,26.04,31.5,61.36,0.520964
91616,65814,91229,26934.6,21202,83255.6,25.2,63,84,44.64,51.3,1040.76,0.521992
96467.7,63910,98922,52062.4,33966,100452,68.88,103.32,71.82,21.39,48.6,113.87,0.524047
73755.5,50975,94823.7,15658.4,12127,84620.4,53.76,43.68,-23.1,14.88,60.3,35.4,0.526102
86098.6,52712,107045,35019.6,23889,96071.2,13.44,58.38,67.2,31.62,44.1,87.32,0.530212
64636.6,47333,89494.1,21708.1,17773,80046.3,65.52,58.38,-49.14,21.39,51.3,147.5,0.532267
68195.4,54448,82083,18481.7,14732,82216.6,63.84,40.74,-24.78,21.39,50.4,73.16,0.532267
73663.8,49096,98330.4,24959.8,17121,95541.3,34.44,34.86,-17.64,39.99,54.9,61.36,0.533295
57589.7,39873,94655.5,22076.9,18001,80375,51.24,60.48,33.18,10.23,38.7,48.38,0.536378
111751,78200,93653.5,25892.2,19553,86783,138.6,75.18,81.06,71.61,110.7,123.31,0.536378
76972,48849,103266,20153.3,16185,81604.3,71.4,53.76,59.22,27.9,63.9,54.87,0.538433
37288.3,24576,99435.5,17744.2,12776,91020.8,7.56,60.48,28.14,96.72,75.6,118.59,0.546653
90868.4,59153,100674,25140.4,18781,87726.9,47.04,51.66,-31.92,68.82,19.8,98.53,0.54768
51135.7,35414,94630.1,26176.1,16366,104819,63,50.82,29.4,8.37,42.3,92.63,0.552818
83514.2,58354,93792.8,21005,15990,86090.4,74.76,59.64,26.88,77.19,21.6,62.54,0.553846
76640.2,50203,100048,16863.8,12847,86027,31.92,26.04,9.24,45.57,4.5,67.85,0.553846
97866.3,58543,109556,71824.2,52322,89963.5,81.48,123.48,-51.24,91.14,52.2,56.64,0.554873
61152,49194,81466.4,16704.2,14026,78050,30.24,7.98,-78.96,-23.25,21.6,61.95,0.555901
98108.5,62418,103009,35138.9,25778,89334.4,87.36,76.02,62.58,87.42,77.4,92.63,0.560011
81634.7,57999,92243.2,28221.5,22271,83046.2,36.96,46.62,-24.36,27.9,36,96.17,0.562066
59298.4,45343,85706.3,22338.1,17250,84866.7,11.76,28.56,14.28,14.88,16.2,72.57,0.562066
67468.1,53698,82341.8,17834,14898,78451.6,17.64,70.56,2.52,53.01,10.8,90.27,0.562066
42689.5,25802,108430,21235.2,15934,87339.7,86.52,20.16,7.98,34.41,72,111.51,0.565149
85445.5,60446,92640.6,31789.8,24526,84945.6,100.8,29.82,45.36,48.36,93.6,123.9,0.567204
59625.3,42547,91842,19217.5,14999,83968.2,34.44,58.38,-7.98,51.15,57.6,20.06,0.568231
36642.2,27630,86912.2,28833,17198,109873,34.44,60.06,-4.62,14.88,26.1,37.76,0.569259
57660.4,34451,109687,29695.7,21295,91389.4,57.96,58.38,28.98,11.16,51.3,136.29,0.572342
55310.5,39330,92164.5,16779.8,13590,80918.6,-4.2,38.22,17.64,26.97,21.6,34.81,0.572342
91628.6,57038,105280,35466.5,26714,87008,101.64,74.76,-12.18,83.7,96.3,143.37,0.575424
90008.1,67012,88025.6,24876.6,20168,80836.6,53.76,82.32,31.08,107.88,58.5,132.75,0.576452
101690,64830,102797,29830.1,22211,88016.9,73.92,55.86,-22.26,119.97,73.8,93.22,0.576452
103612,64672,104996,32926.3,23416,92153.2,42.84,65.94,13.44,54.87,30.6,93.22,0.576452
47907.3,31019,101217,31585.7,17382,119089,83.16,49.98,107.1,56.73,55.8,69.62,0.578507
71852.2,53459,88084.4,22329.7,17483,83704.2,55.44,54.18,44.1,68.82,49.5,56.64,0.578507
79520,51956,100305,55285.4,33336,108687,163.8,116.34,169.26,86.49,117.9,310.93,0.578507
66242.4,50467,86021.8,51822.1,38691,87777.9,99.12,130.2,64.68,105.09,46.8,121.54,0.579534
