"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B525-A","R660-A","R710-A","UV440-A","V440-A","YG610-A","Time"
42327.6,28592,97019.5,14980.6,11364,86392.6,2317.56,919.8,933.66,20.46,336.6,38000.7,0.582408
47422.2,30688,101273,30060.2,17196,114563,1524.6,1806.42,2088.66,34.41,369,58844.8,0.584499
46458.3,30804,98840.8,32765.9,18688,114905,911.4,754.74,846.3,24.18,95.4,26588.9,0.587636
45678.5,27977,107002,32138.4,21796,96633.4,3108,1225.56,1531.74,87.42,329.4,47161.6,0.588681
88680.9,57326,101381,31396.7,21927,93839.2,835.8,1046.64,1381.38,33.48,52.2,38193.1,0.589727
103459,65824,103006,43737.1,30088,95265.8,2514.12,1481.76,1670.76,106.02,256.5,52390.2,0.590772
87830.4,61050,94284.2,39779.9,24227,107608,1328.04,919.38,1129.38,89.28,198.9,34171,0.590772
78225.7,43852,116907,63835,41580,100613,2477.16,2210.46,2614.08,95.79,307.8,71942.8,0.591818
42578.2,24724,112862,22378.4,15852,92517.9,551.88,811.44,846.72,28.83,191.7,22640.7,0.591818
81206.3,54139,98301.3,34101.5,25544,87491.2,1147.44,1333.92,1772.82,32.55,207.9,51691.7,0.592864
61575.5,38217,105592,24749.8,17193,94340.7,1385.16,1110.06,1207.92,93,187.2,36830.8,0.594955
110848,62003,117165,66547.3,34432,126663,1931.16,2812.32,3206.28,168.33,408.6,97042,0.596
110720,60436,120064,62672.4,31204,131627,3333.12,1579.62,1601.88,221.34,549,50246.8,0.596
64952.3,36051,118075,55576.9,29843,122048,1713.6,2323.44,2711.1,114.39,373.5,69257.7,0.598092
80682,41576,127179,53495.4,23416,149721,5394.48,3058.44,3277.26,138.57,372.6,95353.4,0.598092
70493.5,50282,91879,59307.4,47066,82581.2,577.08,1906.8,2271.36,0,69.3,57409.9,0.600183
52543.4,29655,116118,33017.9,19428,111378,1538.04,1415.4,1652.7,81.84,229.5,45256.5,0.601229
58485.7,35350,108428,20940.4,13546,101310,162.12,462.42,543.06,39.99,231.3,12338.7,0.601229
39891.6,26083,100231,13669.3,10903,82163.9,738.36,609,721.98,31.62,139.5,21704.3,0.602274
81778.2,50821,105457,35153.2,25441,90554.5,1577.52,1417.5,1585.92,100.44,185.4,47556.4,0.602274
50226.4,31226,105413,27979.6,20778,88250.5,589.68,723.24,1067.64,65.1,108.9,28970.2,0.602274
42144.2,36896,74858,14797.4,12804,75739.2,1100.4,508.62,580.44,44.64,89.1,21894.9,0.604365
121157,66076,120167,64674.1,28773,147308,2498.16,2294.88,2885.82,263.19,783,70350.4,0.604365
95850.3,62352,100745,51156,42112,79610.6,2316.72,1758.96,2069.34,65.1,153,62185.4,0.61273
54063.8,36748,96416.8,26384.4,19612,88166.8,631.68,740.46,840.84,52.08,148.5,23844.3,0.613776
44524.2,32982,88470.6,18884,15198,81430.7,412.44,646.38,789.18,15.81,6.3,19850,0.615867
61551.7,42767,94321.6,16429.6,12018,89592.9,476.28,350.7,363.72,64.17,93.6,11040.1,0.619004
52551.8,31910,107930,25357.1,17766,93538.3,750.96,748.86,857.64,95.79,260.1,20908.4,0.621095
88158.7,57789,99977,54056.5,39024,90781.3,1872.36,2034.06,2073.96,92.07,256.5,65600.3,0.621095
55626.9,36075,101055,42461.2,25967,107164,1438.92,1359.12,1680.84,35.34,116.1,51123.5,0.621095
30517.2,21278,93992.6,33401.8,24499,89351.3,943.32,1006.74,1105.02,26.97,67.5,37023.1,0.622141
61989.9,44151,92015.4,26509.6,20027,86749.4,1128.12,1033.2,1301.16,28.83,128.7,38740,0.623186
84323.4,49834,110893,20299.4,13389,99361,1044.12,825.3,1105.02,106.95,213.3,29731.3,0.625278
55992.3,29892,122759,45213.8,21360,138724,2538.48,1716.12,1975.68,111.6,333,51411.4,0.626323
44440.9,30506,95472.3,20323.8,15518,85832,801.36,536.34,936.6,40.92,95.4,23545.7,0.627369
98744.8,63549,101832,24465.8,18169,88248.9,1018.08,845.88,1105.44,99.51,213.3,37190.6,0.62946
76960.8,54443,92641.9,19320.8,14607,86685.2,1220.52,1261.68,1698.06,50.22,170.1,49883.3,0.62946
