"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","GFP-A","GFP-H","GFP-W","SYTOX Red-A","SYTOX Red-H","SYTOX Red-W","BFP-A","BFP-H","BFP-W","RFP-A","RFP-H","RFP-W","mCherry-A","mCherry-H","mCherry-W","Time"
185540,141824,112,91671,72598,111,191,87,0,-103,24,0,95,89,0,-76,33,0,-27,41,0,0.535366
192066,139895,120,194955,143359,119,82,103,0,303,392,0,288,244,0,32,63,0,32,45,0,0.537316
149610,129481,102,161755,136278,110,19,73,0,247,284,0,269,175,0,21,56,0,143,96,0,0.539267
138688,116122,101,136571,113813,110,14,78,0,257,265,0,616,650,0,-26,93,0,-122,54,0,0.540242
504327,268896,157,280443,190680,144,37,67,0,215,138,0,7438,4686,63,-26,54,0,-101,46,0,0.540242
226709,162334,125,132893,94590,116,25,65,0,-49,101,0,908,787,0,116,77,0,-15,49,0,0.547068
228164,169865,116,178421,138106,120,-116,66,0,17,93,0,2063,1576,30,-12,59,0,-63,73,0,0.549018
289211,188989,135,156222,118787,118,193,88,0,112,89,0,2418,1954,33,20,55,0,5,44,0,0.559745
313266,212577,128,112178,80221,118,97,77,0,70,105,0,5565,4289,50,74,45,0,-71,37,0,0.559745
360979,239643,125,199795,127642,128,58,76,0,-5,130,0,5018,3667,50,96,107,0,60,95,0,0.561696
323663,232353,124,153537,109644,125,-28,87,0,-9,135,0,3129,2418,38,-16,62,0,-76,20,0,0.568522
139959,116360,109,150445,127471,107,-6,72,0,119,234,0,371,318,0,41,92,0,-135,41,0,0.568522
210459,136619,129,134452,79982,131,20,83,0,118,74,0,2530,2028,32,9,75,0,-1,49,0,0.569497
193644,117633,121,231788,153069,122,3,60,0,336,332,0,392,381,0,-18,61,0,6,89,0,0.572422
424222,262747,148,192692,117944,131,97,61,0,124,144,0,3864,2682,48,34,126,0,-5,61,0,0.573398
163014,111801,113,152948,118662,116,58,58,0,63,124,0,3741,3178,41,-72,37,0,-25,48,0,0.573398
254947,154847,133,211645,150865,125,19,111,0,101,65,0,5920,4116,55,8,53,0,134,102,0,0.580224
339547,234986,139,145965,101290,120,75,60,0,64,83,0,3769,2908,44,14,109,0,41,62,0,0.594851
267828,166329,127,100570,80057,115,-210,40,0,7,62,0,4922,3802,50,25,78,0,-76,45,0,0.594851
231011,169222,115,78091,60985,114,26,49,0,-33,82,0,1696,1352,24,-39,106,0,-143,15,0,0.601677
231976,135448,144,203830,126775,128,12,53,0,130,208,0,2040,1317,27,-157,71,0,142,65,0,0.609479
132597,105673,109,105614,85635,108,45,63,0,121,114,0,286,154,0,91,78,0,-85,27,0,0.613379
276609,185053,123,96326,79394,113,-2,50,0,0,96,0,4777,3779,46,15,49,0,-57,45,0,0.613379
363175,235412,133,147348,101891,126,-45,48,0,225,135,0,2979,2292,39,-3,99,0,-55,52,0,0.613379
290744,171522,126,70584,55721,121,149,97,0,-37,102,0,3820,2400,48,29,101,0,-51,57,0,0.616305
257298,189053,119,123463,98872,118,-125,70,0,112,104,0,1614,1222,21,-30,37,0,34,51,0,0.616305
152898,115437,119,182475,138305,115,-33,87,0,95,293,0,330,240,0,-19,40,0,-88,49,0,0.629957
160589,108761,111,94178,66890,113,-35,54,0,-52,43,0,2173,1622,30,37,64,0,-15,68,0,0.631907
453852,294426,142,199281,146660,127,89,85,0,123,158,0,4786,3734,48,-100,42,0,41,72,0,0.634833
332123,195521,131,126915,87001,128,-14,55,0,-30,49,0,1894,1488,26,5,70,0,-77,38,0,0.635808
