"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B525-A","R660-A","R710-A","UV440-A","V440-A","YG610-A","Time"
80593.1,57777,91416.1,26183.6,18831,91124.8,10.92,37.8,-11.34,34.41,40.5,118,1.02637
85971.2,50378,111839,62095.3,34030,119585,94.08,94.92,82.32,48.36,81,161.07,1.02637
85269.1,55607,100494,26213.9,19767,86910.1,54.6,60.06,36.96,81.84,57.6,61.95,1.02637
55827.8,41057,89113.4,20869.8,17145,79773.9,24.36,54.6,47.04,24.18,62.1,105.61,1.02743
58297.4,48972,78015.6,23725.8,20163,77116.2,54.6,38.64,12.6,17.67,59.4,75.52,1.02743
92910.3,67652,90004.3,23364.6,19756,77506.7,68.88,82.32,-31.5,57.66,65.7,64.31,1.02849
68101.6,41866,106605,55770.1,24478,149316,99.12,108.36,20.58,102.3,157.5,166.38,1.02849
84265.3,49774,110950,73264,31150,154139,95.76,168.84,13.44,58.59,139.5,100.89,1.02849
77650.3,51378,99048,33343.8,22549,96909.8,60.48,105.42,-1.26,67.89,74.7,150.45,1.02954
102146,68376,97903.5,36356,26376,90333.2,42,84.42,15.12,71.61,54.9,121.54,1.02954
69559.7,57200,79696.9,17298.1,15720,72115.1,34.44,40.32,70.14,36.27,108.9,91.45,1.02954
86877,54357,104744,68710.3,41629,108170,147,154.14,120.12,65.1,184.5,174.05,1.02954
72397.5,41687,113816,41407.8,25907,104748,113.4,99.12,39.9,66.03,157.5,128.03,1.02954
39353.3,30411,84806.8,29839.3,22774,85867.6,59.64,56.28,38.22,54.87,86.4,111.51,1.02954
82903.1,48794,111348,20682.5,16862,80384.7,49.56,59.22,36.96,62.31,54.9,139.83,1.02954
56815.5,36601,101731,45467.5,27850,106993,39.48,94.5,-10.92,93,83.7,143.96,1.0306
