"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B525-A","R660-A","R710-A","UV440-A","V440-A","YG610-A","Time"
62867.7,43124,95540.7,17204.9,13104,86045.4,49.56,34.86,24.78,112.53,4895.1,36.58,0.369019
52759,34735,99542.7,17176.3,12994,86629.8,16.8,44.94,35.28,73.47,3934.8,42.48,0.371203
35606.2,23051,101232,35996.5,24358,96849.8,49.56,33.18,21.84,81.84,7259.4,129.8,0.371203
71514.8,47020,99676.6,23374.7,17841,85863.1,47.04,60.9,-26.46,50.22,3466.8,24.19,0.372295
78133.3,48285,106048,28124.9,20573,89592.8,18.48,43.68,7.98,93.93,5402.7,35.99,0.372295
41500.9,28812,94398.3,17247.7,13889,81384.3,35.28,50.82,-40.32,35.34,3657.6,11.8,0.373386
62164.9,30824,132171,36267.8,17576,135233,61.32,59.22,-47.46,107.88,8671.5,86.14,0.373386
69559.7,43292,105300,25779.6,18059,93554,98.28,42,6.3,108.81,10332.9,38.94,0.373386
71183,48159,96867.7,22427.2,15714,93533.6,41.16,23.1,-14.7,50.22,3954.6,64.31,0.374478
53803.4,37534,93943.1,17590.4,13539,85147.1,54.6,19.32,91.14,88.35,3661.2,58.41,0.374478
64250.9,40456,104082,20475.8,15137,88650.6,42,68.88,-16.8,94.86,4761.9,74.93,0.374478
51017.4,33325,100329,24653.2,18217,88690.2,47.88,82.32,-32.34,76.26,3205.8,82.6,0.374478
57159.9,44623,83948.4,13189.7,10802,80022.1,7.56,46.2,6.72,66.96,3087.9,23.01,0.376662
109747,66834,107615,55794.5,31974,114360,89.04,106.68,79.8,205.53,8581.5,91.45,0.376662
82809.3,46303,117206,25799.8,16386,103186,103.32,44.1,42.42,158.1,6387.3,39.53,0.377753
57998.5,41719,91109.3,15697.1,11459,89774.3,26.88,45.36,39.9,70.68,5123.7,27.14,0.378845
65252.6,43387,98564,29246.3,20566,93196.7,100.8,78.96,23.1,132.99,5404.5,81.42,0.379937
40725.3,22105,120741,48458.8,24916,127460,137.76,87.36,31.92,83.7,4563,69.62,0.379937
42360.5,25544,108681,22959.7,16865,89219.6,61.32,42.84,2.52,105.09,3605.4,47.2,0.381029
69517,42846,106331,22821.1,16151,92601.4,55.44,62.58,64.68,118.11,7360.2,85.55,0.381029
106082,57331,121264,68246.6,33979,131629,201.6,170.52,147.42,308.76,14713.2,216.53,0.381029
94682.7,63390,97888.1,23167.2,17694,85807.9,52.08,34.02,82.74,93,1353.6,77.29,0.382121
46281.9,27275,111206,40126,26728,98387.3,134.4,68.46,19.74,69.75,2626.2,112.1,0.383212
42487.2,29790,93469,14214.5,11475,81181.7,63.84,15.12,-9.66,79.05,7074.9,54.87,0.385396
98648.2,62621,103240,37769.8,27309,90639.7,66.36,57.54,31.5,126.48,2405.7,79.65,0.386488
72228.1,42463,111474,25733.4,17810,94692,103.32,54.6,39.48,156.24,7758,98.53,0.386488
49841.4,35437,92175,19960.9,15885,82351.8,44.52,29.82,3.36,87.42,3216.6,87.91,0.386488
