"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","GFP-A","GFP-H","GFP-W","(Event #%5) - 0.5 + (Event #/(7059 + 1))","SYTOX Red-A","SYTOX Red-H","SYTOX Red-W","BFP-A","BFP-H","BFP-W","RFP-A","RFP-H","RFP-W","mCherry-A","mCherry-H","mCherry-W","Time"
268455,204535,121,102621,71955,118,37744,25921,88,0.553258,1300,1023,11,108,140,0,779,540,0,6635,4789,51,0.89149
260473,197922,114,97687,69914,116,713,385,0,2.55354,69,129,0,31,81,0,116,89,0,819,547,0,0.897731
490324,258937,144,229046,126511,137,2594,1091,29,3.55368,987,706,0,-139,37,0,442,316,0,4699,2299,56,0.899811
316172,247412,133,112713,79407,117,942,571,0,2.55425,389,343,0,-86,62,0,154,189,0,1755,1250,20,0.907093
403938,235201,132,191461,105074,136,1618,695,0,0.555382,832,681,0,92,71,0,545,287,0,3537,1805,48,0.921657
411743,248189,149,260721,112979,149,2109,994,0,1.55623,582,350,0,-109,90,0,436,173,0,2617,1001,2,0.933099
419408,247248,133,179522,102760,132,788,381,0,3.55652,769,606,0,-117,43,0,489,219,0,3493,1947,45,0.93726
205056,160078,115,51501,41965,106,-105,39,0,0.556799,-84,23,0,-36,74,0,-12,59,0,120,97,0,0.946622
295034,216987,137,140750,101296,120,688,310,0,2.55779,512,541,0,-49,52,0,339,208,0,2001,1494,23,0.97783
285061,209824,134,125632,80333,124,1572,854,0,-0.441926,416,425,0,94,70,0,270,171,0,1540,1012,5,0.985112
420065,249979,130,239065,142519,135,2851,1527,34,1.55836,731,463,0,-74,96,0,542,242,0,2758,1523,39,0.994474
330391,204102,125,229926,145123,130,1133,609,0,2.5585,472,367,0,-61,41,0,151,163,0,1694,1086,13,0.997594
182905,138898,117,247999,131892,125,898,448,0,3.55864,292,182,0,-19,51,0,136,98,0,1143,569,0,1.00072
150984,94729,114,275792,183140,122,1080,578,0,-0.441218,549,459,0,-99,22,0,269,165,0,1611,1138,13,1.01112
369399,251121,144,189265,108524,123,121,155,0,0.558924,-3,181,0,82,69,0,23,75,0,298,267,0,1.01424
161314,77699,128,291350,129468,136,698,375,0,1.55907,511,308,0,31,104,0,304,188,0,1786,811,0,1.01424
185791,126706,118,142098,89419,118,1009,664,0,2.55921,289,289,0,71,101,0,44,76,0,913,562,0,1.01528
276419,197693,129,89032,62438,115,496,364,0,0.559632,252,269,0,55,80,0,215,145,0,1200,828,0,1.01944
278885,193411,117,142952,95870,124,1436,897,0,2.55992,545,515,0,14,65,0,231,149,0,1887,1274,23,1.02776
278616,186340,119,112625,69956,122,152,109,0,-0.439802,299,165,0,6,58,0,21,73,0,597,427,0,1.02984
496907,326851,133,202811,125852,131,4904,2554,52,-0.439093,721,570,0,74,91,0,224,196,0,3150,1955,38,1.04337
587225,301103,160,224599,108685,145,1792,956,0,-0.438385,975,651,0,-41,60,0,469,213,0,3511,1812,48,1.05793
316410,239233,121,126691,100248,123,64,92,0,2.56204,132,168,0,-73,45,0,-20,53,0,451,477,0,1.06105
385684,233301,146,174201,109362,139,1846,947,0,3.56289,561,413,0,171,90,0,444,219,0,2558,1372,31,1.06833
255333,194469,129,88588,66622,114,478,384,0,3.5636,158,172,0,58,78,0,209,113,0,1453,961,0,1.08081
261017,192266,125,89310,62804,115,296,250,0,0.563881,316,276,0,4,62,0,58,119,0,1054,771,0,1.08393
191752,135702,117,126358,87747,117,425,309,0,3.56431,149,206,0,34,75,0,75,78,0,1035,700,0,1.0881
328112,224787,132,160007,109385,120,1271,692,0,1.56473,277,239,0,48,74,0,163,175,0,1693,1230,20,1.09538
158097,131264,111,94948,74085,115,191,81,0,2.56629,309,254,0,-168,4,0,-59,39,0,351,267,0,1.10994
132038,107500,113,146323,124025,108,3,93,0,3.56643,61,134,0,13,57,0,155,78,0,402,324,0,1.11098
143100,121028,122,106852,94256,104,267,252,0,-0.433428,194,218,0,46,92,0,198,156,0,978,886,0,1.11618
163942,110667,113,249787,173283,120,388,320,0,2.56771,537,505,0,83,70,0,146,123,0,904,759,0,1.12971
309555,215615,123,111047,78865,119,8273,5009,59,0.56813,912,760,0,123,132,0,708,409,0,4435,3023,45,1.13803
258668,180811,118,122676,82666,117,732,410,0,1.56827,409,229,0,-53,46,0,282,185,0,1453,1001,2,1.13907
150190,98525,116,123686,84287,116,1876,1134,15,3.56856,433,338,0,-3,59,0,274,180,0,1389,951,0,1.14531
276273,197472,131,134725,107113,114,443,337,0,1.56969,155,173,0,-44,50,0,145,92,0,1015,748,0,1.16611
369367,251461,119,207283,112781,122,1887,996,0,-0.429887,655,570,0,32,55,0,380,216,0,2772,1538,38,1.17028
301621,191927,136,119360,74197,128,1759,891,0,2.57125,395,388,0,154,169,0,296,185,0,2364,1417,32,1.18796
297593,184494,130,137859,95020,123,2076,1283,24,0.571671,439,516,0,-167,72,0,307,193,0,2478,1612,32,1.19004
446832,259627,131,155899,99404,129,1816,888,0,1.57181,526,457,0,-23,56,0,248,182,0,2251,1505,30,1.19004
399952,241137,137,412929,293450,140,197,168,0,2.57195,468,476,0,173,113,0,165,191,0,1976,1530,23,1.19316
392195,255798,129,196858,116005,133,980,447,0,3.5728,510,386,0,32,88,0,327,174,0,2251,1222,27,1.20356
122932,100496,121,147697,93515,121,22,65,0,2.57337,194,254,0,84,107,0,25,64,0,729,366,0,1.21397
690437,357721,147,342307,169080,150,2963,1451,41,2.57408,1058,814,0,157,147,0,564,391,0,5045,2574,56,1.22229
